;GO:0035264;GO:0042407;GO:0006120;GO:0034551;GO:1902600;GO:0006123;GO:0022900;GO:0006122;GO:0042776;GO:0006631;GO:0006119;GO:0070584;GO:0010259;GO:0032543;GO:0032981;GO:0009060
GO:0035264;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2094010755201625;0.26058352728840345;0.0;0.0;0.0
GO:0042407;0.0;1.0;0.023274895928415428;0.17427182803194097;0.0;0.021609059926712387;0.026180529909038734;0.021297844365349615;0.021609059926712387;0.027659756518664994;0.02232288989583613;0.6147422970838562;0.0;0.022902340830851273;0.20285254017058016;0.023400011110031094
GO:0006120;0.0;0.023274895928415428;1.0;0.021154061359467343;0.0;0.8026913167149393;0.8710421937447441;0.7908225686918707;0.5944043350927561;0.13425836177649655;0.6145893747696796;0.022476386615345928;0.0;0.11050262650516339;0.024727980747086084;0.6451157248089604
GO:0034551;0.0;0.17427182803194097;0.021154061359467343;1.0;0.0;0.01976894614374969;0.02352729492275988;0.019508156980232633;0.01976894614374969;0.024715091715238474;0.02036470446401519;0.16895364159987414;0.0;0.020845858660619696;0.7867996018300577;0.021257363508938996
GO:1902600;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.8210054415771487;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006123;0.0;0.021609059926712387;0.8026913167149393;0.01976894614374969;0.0;1.0;0.7994337837477343;0.7374167951111212;0.553701872328817;0.12263147174973736;0.5711765408178296;0.020919068091574542;0.0;0.10250368774962634;0.022856015435949797;0.9209889564481575
GO:0022900;0.0;0.026180529909038734;0.8710421937447441;0.02352729492275988;0.0;0.7994337837477343;1.0;0.7862372577667069;0.664755761793603;0.15548132155245786;0.6901034829606786;0.02517451305701642;0.0;0.12448845004747991;0.02803350872676169;0.7288285143852384
GO:0006122;0.0;0.021297844365349615;0.7908225686918707;0.019508156980232633;0.0;0.7374167951111212;0.7862372577667069;1.0;0.5460676235767972;0.12050091201865783;0.5630563523137446;0.02062727568362247;0.0;0.10101086237308651;0.022508135151639904;0.5885718198937799
GO:0042776;0.0;0.021609059926712387;0.5944043350927561;0.01976894614374969;0.8210054415771487;0.553701872328817;0.664755761793603;0.5460676235767972;1.0;0.4194225028833961;0.9684402936628769;0.020919068091574542;0.0;0.44510652065676864;0.022856015435949797;0.5974504350781258
GO:0006631;0.0;0.027659756518664994;0.13425836177649655;0.024715091715238474;0.0;0.12263147174973736;0.15548132155245786;0.12050091201865783;0.4194225028833961;1.0;0.43630401297297455;0.026539278827084324;0.0;0.13240945636432713;0.029736345322205444;0.13514708367193626
GO:0006119;0.0;0.02232288989583613;0.6145893747696796;0.02036470446401519;0.0;0.5711765408178296;0.6901034829606786;0.5630563523137446;0.9684402936628769;0.43630401297297455;1.0;0.02158733483293802;0.0;0.19730093317708317;0.02365613100925357;0.6178464358129503
GO:0070584;0.2094010755201625;0.6147422970838562;0.022476386615345928;0.16895364159987414;0.0;0.020919068091574542;0.02517451305701642;0.02062727568362247;0.020919068091574542;0.026539278827084324;0.02158733483293802;1.0;0.1855817928231102;0.02212876516863006;0.19568282386920918;0.022593042705441487
GO:0010259;0.26058352728840345;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1855817928231102;1.0;0.0;0.0;0.0
GO:0032543;0.0;0.022902340830851273;0.11050262650516339;0.020845858660619696;0.0;0.10250368774962634;0.12448845004747991;0.10101086237308651;0.44510652065676864;0.13240945636432713;0.19730093317708317;0.02212876516863006;0.0;1.0;0.024307875081430518;0.11110396640670701
GO:0032981;0.0;0.20285254017058016;0.024727980747086084;0.7867996018300577;0.0;0.022856015435949797;0.02803350872676169;0.022508135151639904;0.022856015435949797;0.029736345322205444;0.02365613100925357;0.19568282386920918;0.0;0.024307875081430518;1.0;0.024869253236431885
GO:0009060;0.0;0.023400011110031094;0.6451157248089604;0.021257363508938996;0.0;0.9209889564481575;0.7288285143852384;0.5885718198937799;0.5974504350781258;0.13514708367193626;0.6178464358129503;0.022593042705441487;0.0;0.11110396640670701;0.024869253236431885;1.0
